ID,latitude,longitude,elevation,IGBP,Koppen,start,end,IRGA,sonic_anemometer,instrument_height,canopy_height,plant,continent,country,system,tier
BE-Vie,50.30496,5.99808,491,MF,Cfb - Warm temperate fully humid with warm summer,1996-01-01 00:00:00,2014-12-31 23:30:00,LI-6262,SOLENT 1012R2,38.0,35.2,Deciduous Broadleaf Trees,Europe,Belgium,C,1
BR-Sa1,-2.85667,-54.95889,90,EBF,Am - Equatorial monsoon,2002-01-01 00:00:00,2011-12-31 23:00:00,LI-6262,CSAT3,57.8,41.0,Evergreen Broadleaf Trees,South America,Brazil,C,1
BR-Sa3,-3.01803,-54.97144,100,EBF,Am - Equatorial monsoon,2000-01-01 00:00:00,2004-12-31 23:30:00,LI-6262,CSAT3,64.0,27.0,Evergreen Broadleaf Trees,South America,Brazil,C,1
CA-Gro,48.2167,-82.1556,355,MF,Dfb - Snow fully humid warm summer,2003-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,CSAT3,43.3,31.0,Evergreen Needleleaf Trees,North America,Canada,O,1
CA-Man,55.87962,-98.48081,253,ENF,Dfc - Snow fully humid cool summer,1994-01-01 00:00:00,2008-12-31 23:30:00,LI-6262,SATI/3,29.0,12.0,Evergreen Needleleaf Trees,North America,Canada,C,1
CA-NS1,55.87917,-98.48389,253,ENF,Dfc - Snow fully humid cool summer,2001-01-01 00:00:00,2005-12-31 23:30:00,LI-7000,CSAT3,24.0,16.0,Evergreen Needleleaf Trees,North America,Canada,C,1
CA-NS2,55.90583,-98.52472,257,ENF,Dfc - Snow fully humid cool summer,2001-01-01 00:00:00,2005-12-31 23:30:00,LI-7000,CSAT3,20.0,16.0,Evergreen Needleleaf Trees,North America,Canada,C,1
CA-NS3,55.91167,-98.38222,257,ENF,Dfc - Snow fully humid cool summer,2001-01-01 00:00:00,2005-12-31 23:30:00,LI-7000,CSAT3,10.0,6.0,Evergreen Needleleaf Trees,North America,Canada,C,1
CA-NS4,55.91437,-98.380645,257,ENF,Dfc - Snow fully humid cool summer,2002-01-01 00:00:00,2005-12-31 23:30:00,LI-7000,CSAT3,10.0,6.0,Evergreen Needleleaf Trees,North America,Canada,C,1
CA-NS5,55.86306,-98.485,254,ENF,Dfc - Snow fully humid cool summer,2001-01-01 00:00:00,2005-12-31 23:30:00,LI-7000,CSAT3,9.0,5.0,Evergreen Needleleaf Trees,North America,Canada,C,1
CA-NS6,55.91667,-98.96444,245,OSH,Dfc - Snow fully humid cool summer,2001-01-01 00:00:00,2005-12-31 23:30:00,LI-7000,CSAT3,8.0,4.0,Evergreen Needleleaf Trees,North America,Canada,C,1
CA-NS7,56.63583,-99.94833,291,OSH,Dfc - Snow fully humid cool summer,2002-01-01 00:00:00,2005-12-31 23:30:00,LI-7000,CSAT3,4.25,0.25,Evergreen Needleleaf Trees,North America,Canada,C,1
CA-Oas,53.62889,-106.19779,580,DBF,Dfc - Snow fully humid cool summer,1996-01-01 00:00:00,2010-12-31 23:30:00,LI-6262,"SAT, Model R3",39.0,20.1,Deciduous Needleleaf Trees,North America,Canada,C,1
CA-Obs,53.98717,-105.11779,598,ENF,Dfc - Snow fully humid cool summer,1997-01-01 00:00:00,2010-12-31 23:30:00,LI-6262,"SAT, Model R3",25.0,7.2,Evergreen Needleleaf Trees,North America,Canada,C,1
CA-Qfo,49.6925,-74.34206,390,ENF,Dfc - Snow fully humid cool summer,2003-01-01 00:00:00,2010-12-31 23:30:00,LI-7000/LI-7500/LI-6262,CSAT3,24.0,13.8,Evergreen Needleleaf Trees,North America,Canada,M,1
CA-SF1,54.48503,-105.81757,566,ENF,Dfc - Snow fully humid cool summer,2003-01-01 00:00:00,2006-12-31 23:30:00,LI-7500,CSAT3,12.0,6.0,Evergreen Needleleaf Trees,North America,Canada,O,1
CA-SF2,54.25392,-105.8775,511,ENF,Dfc - Snow fully humid cool summer,2001-01-01 00:00:00,2005-12-31 23:30:00,LI-7500,CSAT3,10.0,4.0,Evergreen Needleleaf Trees,North America,Canada,O,1
CA-SF3,54.09156,-106.00526,561,OSH,Dfc - Snow fully humid cool summer,2001-01-01 00:00:00,2006-12-31 23:30:00,LI-7500,CSAT3,20.0,1.0,Evergreen Needleleaf Trees,North America,Canada,O,1
